,Age,Income,No of Years,FreqBra,FreqATM,FreqPOS,FreqInt,cust_care_score,complaints_score,branches_score,exec_eff_score,prod_score,val_for_money_score,cluster,Age_bin,Income_bin,Bank,Gender,Most frequently used Bank,Location,Education,Employment Category,Changeplan,FromBank,ToBank
6696,65,75000,12,2,6,0,0,44,50,95,30,30,10,2,Above 60,"N50,000 - N100,000",Bank I,Female,Bank I,Akure,Bachelor's Decree,Retired,No,,
6697,25.5,25000,7,2,2,0.5,0,20,-30,46,0,-20,-20,0,21-30,"Below N50,000",Bank H,Female,Bank H,Akure,Bachelor's Decree,Self Employed,Yes,Bank H,Bank C
6699,25.5,75000,8,0.5,6,0.5,0.5,13,5,11,5,6,2,0,21-30,"N50,000 - N100,000",Bank C,Male,Bank C,Akure,OND/HND,Private Sector Employee,No,,
6700,25.5,75000,5,0.5,6,0.5,0.5,13,5,17,5,6,2,0,21-30,"N50,000 - N100,000",Bank A,Male,Bank C,Akure,OND/HND,Private Sector Employee,No,,
6703,25.5,75000,5,6,30,0.5,2,0,0,21,51,22,30,0,21-30,"N50,000 - N100,000",Bank C,Male,Bank C,Akure,OND/HND,Private Sector Employee,No,,
6704,25.5,75000,1,6,30,0.5,2,-22,0,-24,51,22,-10,0,21-30,"N50,000 - N100,000",Bank A,Male,Bank C,Akure,OND/HND,Private Sector Employee,No,,
6708,33,75000,5,6,30,2,0,58,16,87,54,43,-18,3,31-35,"N50,000 - N100,000",Bank B,Male,Bank B,Akure,OND/HND,Private Sector Employee,No,,
6710,19,25000,3,6,6,30,2,76,60,163,57,46,5,3,18-20,"Below N50,000",Bank H,Female,Bank H,Akure,Bachelor's Decree,Student,No,,
6712,38,175000,1,2,2,0,0,-30,20,58,40,30,30,3,36-40,"N101,000 - N250,000",Bank D,Female,Bank A,Akure,Bachelor's Decree,Civil/Public Servant,No,,
6713,38,175000,3,2,2,0,0,84,40,118,50,60,30,3,36-40,"N101,000 - N250,000",Bank C,Female,Bank A,Akure,Bachelor's Decree,Civil/Public Servant,No,,
6714,38,175000,7,2,2,0,0,61,60,68,50,60,30,3,36-40,"N101,000 - N250,000",Bank A,Female,Bank A,Akure,Bachelor's Decree,Civil/Public Servant,No,,
6720,25.5,25000,4,2,2,0,0,66,24,84,20,10,20,3,21-30,"Below N50,000",Bank C,Female,Bank C,Akure,Bachelor's Decree,Student,No,,
6721,25.5,25000,2,2,2,0,0,30,21,3,30,40,10,0,21-30,"Below N50,000",Bank F,Female,Bank F,Akure,Bachelor's Decree,Student,No,,
6723,38,175000,4,2,6,0,0.5,36,0,77,20,20,10,0,36-40,"N101,000 - N250,000",Bank N,Female,Bank N,Akure,Bachelor's Decree,Civil/Public Servant,No,,
6724,50.5,375000,8,2,6,0.5,0.5,60,40,120,40,30,20,2,41-60,"N251,000 - N500,000",Bank A,Male,Bank A,Akure,PHD,Civil/Public Servant,No,,
6725,33,75000,5,2,30,0.5,0,60,0,30,0,-10,-10,0,31-35,"N50,000 - N100,000",Bank H,Male,Bank H,Akure,Bachelor's Decree,Civil/Public Servant,No,,
6726,38,75000,4,6,30,0,0,60,40,80,20,20,10,3,36-40,"N50,000 - N100,000",Bank J,Male,Bank J,Akure,Bachelor's Decree,Private Sector Employee,No,,
6727,33,25000,6,6,30,0,0,-16,0,40,0,0,0,0,31-35,"Below N50,000",Bank F,Male,Bank F,Akure,Bachelor's Decree,Private Sector Employee,No,,
6728,19,25000,2,2,6,0.5,2,-80,-60,-160,0,10,-20,0,18-20,"Below N50,000",Bank F,Male,,Akure,Bachelor's Decree,Student,Yes,Bank F,Bank C
6729,33,75000,5,2,6,0.5,0,0,0,30,20,0,0,0,31-35,"N50,000 - N100,000",Bank F,Female,Bank F,Akure,Bachelor's Decree,Civil/Public Servant,No,,
6730,19,25000,2,2,6,0,0.5,20,0,20,20,0,0,0,18-20,"Below N50,000",Bank H,Male,Bank H,Akure,Bachelor's Decree,Student,No,,
6731,50.5,175000,4,6,6,2,0,28,20,44,10,30,10,2,41-60,"N101,000 - N250,000",Bank O,Male,Bank O,Akure,Master's Degree,Civil/Public Servant,No,,
6732,50.5,175000,2,6,6,2,0,56,20,94,40,30,10,3,41-60,"N101,000 - N250,000",Bank E,Male,Bank O,Akure,Master's Degree,Civil/Public Servant,No,,
6733,33,25000,8,6,30,0,0,30,17,61,25,30,0,0,31-35,"Below N50,000",Bank B,Male,Bank B,Akure,Primary School leaving certificate,Self Employed,No,,
6734,33,25000,1,6,30,0,0,70,26,80,41,30,10,3,31-35,"Below N50,000",Bank C,Male,Bank B,Akure,Primary School leaving certificate,Self Employed,No,,
6735,38,175000,5,2,6,0.5,0,100,40,60,40,60,20,3,36-40,"N101,000 - N250,000",Bank C,Female,Bank C,Akure,Bachelor's Decree,Civil/Public Servant,No,,
6736,50.5,175000,9,6,30,0,0,10,0,10,20,0,10,2,41-60,"N101,000 - N250,000",Bank O,Female,Bank O,Akure,Master's Degree,Civil/Public Servant,No,,
6737,50.5,175000,10,6,6,0,0,37,10,0,-10,-10,0,0,41-60,"N101,000 - N250,000",Bank O,Male,Bank O,Akure,Master's Degree,Civil/Public Servant,No,,
6739,19,25000,3,6,30,0,0,76,20,120,40,30,20,3,18-20,"Below N50,000",Bank C,Male,Bank C,Akure,Secondary school leaving certificate,Student,No,,
6740,33,75000,7,2,6,0.5,0,0,-20,-40,-10,-20,0,0,31-35,"N50,000 - N100,000",Bank F,Female,Bank F,Akure,Bachelor's Decree,Civil/Public Servant,No,,
6741,38,75000,6,2,6,0.5,0,60,40,20,20,30,10,3,36-40,"N50,000 - N100,000",Bank C,Male,Bank C,Akure,Bachelor's Decree,Civil/Public Servant,No,,
6742,33,25000,6,6,30,0,0,50,20,30,40,40,20,3,31-35,"Below N50,000",Bank P,Female,Bank P,Akure,Bachelor's Decree,Private Sector Employee,No,,
6743,33,25000,4,6,30,0,0,38,20,70,40,20,20,3,31-35,"Below N50,000",Bank P,Male,Bank P,Akure,Bachelor's Decree,Private Sector Employee,No,,
6744,25.5,25000,6,6,6,0,0,74,10,90,20,10,10,3,21-30,"Below N50,000",Bank L,Female,Bank L,Akure,Bachelor's Decree,Private Sector Employee,No,,
6745,33,75000,5,6,30,0.5,0,-20,20,20,20,0,0,0,31-35,"N50,000 - N100,000",Bank B,Female,Bank B,Akure,Bachelor's Decree,Civil/Public Servant,No,,
6746,33,175000,4,6,30,0.5,0,-50,0,-70,0,0,0,0,31-35,"N101,000 - N250,000",Bank B,Female,Bank J,Akure,Bachelor's Decree,Private Sector Employee,No,,
6748,50.5,175000,5,6,6,0.5,0.5,40,30,38,18,30,10,2,41-60,"N101,000 - N250,000",Bank G,Male,Bank G,Akure,Master's Degree,Civil/Public Servant,No,,
6749,25.5,75000,3,2,6,0.5,0.5,76,20,56,40,40,20,3,21-30,"N50,000 - N100,000",Bank L,Female,Bank L,Akure,Bachelor's Decree,Private Sector Employee,No,,
6750,25.5,25000,8,2,6,0.5,0,46,10,-20,29,36,20,0,21-30,"Below N50,000",Bank H,Female,Bank H,Akure,Bachelor's Decree,Unemployed,No,,
6751,25.5,25000,5,2,6,0.5,0.5,90,40,60,20,20,20,3,21-30,"Below N50,000",Bank N,Female,Bank N,Akure,OND/HND,Private Sector Employee,No,,
6753,65,75000,7,2,6,0,0,60,0,-10,20,0,0,2,Above 60,"N50,000 - N100,000",Bank P,Male,Bank P,Akure,Bachelor's Decree,Retired,No,,
6754,50.5,375000,6,2,6,0,0,80,40,130,40,40,30,3,41-60,"N251,000 - N500,000",Bank G,Male,Bank G,Akure,Bachelor's Decree,Self Employed,No,,
6755,38,175000,4,2,6,0,0.5,80,40,140,20,40,30,3,36-40,"N101,000 - N250,000",Bank J,Female,Bank J,Akure,Bachelor's Decree,Private Sector Employee,No,,
6756,33,25000,7,6,30,0,0,68,40,100,20,20,20,3,31-35,"Below N50,000",Bank C,Female,Bank C,Akure,Bachelor's Decree,Self Employed,No,,
6757,25.5,25000,6,6,30,2,0,50,20,120,40,20,10,3,21-30,"Below N50,000",Bank C,Male,Bank C,Akure,Bachelor's Decree,Self Employed,No,,
6758,38,75000,10,6,6,0,0,38,40,110,20,30,20,3,36-40,"N50,000 - N100,000",Bank I,Male,Bank I,Akure,Bachelor's Decree,Self Employed,No,,
6760,33,25000,4,6,6,0,0,10,0,20,0,10,10,0,31-35,"Below N50,000",Bank F,Female,Bank F,Akure,Bachelor's Decree,Self Employed,No,,
6761,25.5,25000,4,2,30,0.5,2,60,10,40,20,20,20,3,21-30,"Below N50,000",Bank H,Male,Bank H,Akure,Bachelor's Decree,Student,No,,
6762,33,75000,7,6,30,2,6,80,20,60,20,20,20,3,31-35,"N50,000 - N100,000",Bank L,Male,Bank L,Akure,Bachelor's Decree,Private Sector Employee,No,,
6763,38,175000,5,6,6,0,0,50,60,20,40,60,20,3,36-40,"N101,000 - N250,000",Bank C,Female,Bank C,Akure,Bachelor's Decree,Civil/Public Servant,No,,
6764,25.5,75000,4,2,6,6,0,80,20,100,50,50,10,3,21-30,"N50,000 - N100,000",Bank D,Female,Bank D,Akure,Bachelor's Decree,Self Employed,No,,
6765,38,175000,3,6,30,0.5,0.5,-50,-30,-80,-20,-50,-20,0,36-40,"N101,000 - N250,000",Bank P,Female,Bank P,Akure,Bachelor's Decree,Civil/Public Servant,No,,
6766,25.5,25000,5,2,6,2,0.5,78,18,98,40,40,20,3,21-30,"Below N50,000",Bank H,Female,Bank H,Akure,Secondary school leaving certificate,Student,No,,
6767,33,175000,5,2,6,0.5,2,0,0,-80,-20,-30,-20,0,31-35,"N101,000 - N250,000",Bank F,Male,Bank F,Akure,Bachelor's Decree,Civil/Public Servant,Yes,Bank F,Bank G
6768,38,175000,8,2,6,0.5,0.5,40,-40,-90,0,0,-20,0,36-40,"N101,000 - N250,000",Bank F,Male,Bank F,Akure,Master's Degree,Civil/Public Servant,No,,
6769,33,75000,7,2,6,2,0.5,80,18,81,38,54,18,3,31-35,"N50,000 - N100,000",Bank C,Male,Bank C,Akure,Bachelor's Decree,Civil/Public Servant,No,,
6770,19,25000,3,2,6,0.5,2,80,20,60,40,20,30,3,18-20,"Below N50,000",Bank C,Male,Bank C,Akure,Bachelor's Decree,Student,No,,
6771,38,175000,10,0.5,6,0.5,0.5,20,19,64,36,40,9,2,36-40,"N101,000 - N250,000",Bank L,Male,Bank L,Akure,Master's Degree,Civil/Public Servant,No,,
6772,33,75000,7,6,30,0,0,80,40,40,20,0,0,0,31-35,"N50,000 - N100,000",Bank L,Male,Bank L,Akure,Bachelor's Decree,Civil/Public Servant,No,,
6773,33,75000,10,6,30,0,0,80,40,60,20,20,10,3,31-35,"N50,000 - N100,000",Bank L,Male,Bank L,Akure,Bachelor's Decree,Civil/Public Servant,No,,
6774,38,175000,8,2,6,0,0,40,20,-10,40,20,10,0,36-40,"N101,000 - N250,000",Bank H,Female,Bank H,Akure,Master's Degree,Civil/Public Servant,No,,
6775,25.5,75000,4,2,6,0.5,2,40,20,-100,0,0,-10,0,21-30,"N50,000 - N100,000",Bank O,Female,Bank O,Akure,Bachelor's Decree,Civil/Public Servant,No,,
6776,50.5,175000,12,2,6,0.5,2,70,28,57,27,9,10,2,41-60,"N101,000 - N250,000",Bank P,Male,Bank P,Akure,Master's Degree,Civil/Public Servant,No,,
6777,19,25000,3,2,6,0.5,0.5,39,29,74,38,40,27,3,18-20,"Below N50,000",Bank N,Female,Bank N,Akure,Secondary school leaving certificate,Student,No,,
6778,33,25000,4,6,6,0,0,46,20,20,-10,10,0,0,31-35,"Below N50,000",Bank F,Female,Bank F,Akure,Bachelor's Decree,Private Sector Employee,No,,
6779,25.5,75000,3,6,30,0.5,0.5,78,36,168,18,40,18,3,21-30,"N50,000 - N100,000",Bank E,Female,Bank E,Akure,Bachelor's Decree,Self Employed,No,,
6780,33,75000,2,6,30,0.5,0,90,60,130,40,40,10,3,31-35,"N50,000 - N100,000",Bank Q,Male,Bank Q,Akure,Bachelor's Decree,Private Sector Employee,No,,
6781,19,25000,1,2,6,0,0,13,-20,41,20,1,9,0,18-20,"Below N50,000",Bank C,Female,Bank C,Akure,Bachelor's Decree,Student,No,,
6783,33,25000,10,2,6,0,0,70,20,30,10,20,20,3,31-35,"Below N50,000",Bank F,Male,Bank F,Akure,Bachelor's Decree,Private Sector Employee,No,,
6784,25.5,25000,4,6,30,0,0,48,40,120,40,40,20,3,21-30,"Below N50,000",Bank D,Male,Bank D,Akure,Bachelor's Decree,Private Sector Employee,No,,
6785,19,25000,2,6,30,0,0,80,40,130,40,40,30,3,18-20,"Below N50,000",Bank C,Female,Bank C,Akure,OND/HND,Private Sector Employee,No,,
6786,25.5,25000,4,6,30,0,0,80,40,130,40,40,30,3,21-30,"Below N50,000",Bank C,Male,Bank C,Akure,Bachelor's Decree,Private Sector Employee,No,,
6787,25.5,25000,5,6,30,0,0,50,10,50,10,10,10,0,21-30,"Below N50,000",Bank A,Female,,Akure,Bachelor's Decree,Private Sector Employee,No,,
6788,33,75000,3,0.5,6,0,0,65,28,51,31,17,10,3,31-35,"N50,000 - N100,000",Bank O,Female,Bank O,Akure,Bachelor's Decree,Private Sector Employee,No,,
6789,25.5,25000,2,2,6,0.5,0.5,62,40,62,20,18,20,3,21-30,"Below N50,000",Bank B,Female,Bank B,Akure,Secondary school leaving certificate,Student,No,,
6790,25.5,25000,1,2,6,0.5,0.5,46,8,32,20,18,10,0,21-30,"Below N50,000",Bank A,Female,Bank B,Akure,Secondary school leaving certificate,Student,No,,
6792,25.5,25000,4,6,30,0,0,32,10,50,10,10,10,0,21-30,"Below N50,000",Bank H,Female,Bank H,Akure,Bachelor's Decree,Private Sector Employee,No,,
6793,25.5,75000,4,6,30,0.5,0,60,20,130,40,20,20,3,21-30,"N50,000 - N100,000",Bank J,Female,Bank J,Akure,Bachelor's Decree,Student,No,,
6795,38,75000,3,6,6,0,0,80,40,110,20,30,20,3,36-40,"N50,000 - N100,000",Bank E,Male,Bank E,Akure,Bachelor's Decree,Private Sector Employee,No,,
6796,25.5,25000,3,6,2,0,0,40,40,100,50,20,20,3,21-30,"Below N50,000",Bank B,Male,Bank B,Akure,OND/HND,Student,No,,
6797,25.5,25000,4,6,0.5,0,0,30,30,120,50,10,10,3,21-30,"Below N50,000",Bank C,Female,Bank C,Akure,Secondary school leaving certificate,Student,No,,
6799,38,25000,6,6,30,0,0,60,20,50,20,40,30,3,36-40,"Below N50,000",Bank P,Female,Bank P,Akure,Bachelor's Decree,Private Sector Employee,No,,
6800,65,375000,10,2,6,0,0,60,20,50,40,40,20,2,Above 60,"N251,000 - N500,000",Bank B,Male,Bank B,Akure,Master's Degree,Retired,No,,
6801,33,25000,5,2,2,0,0,40,40,91,20,40,20,3,31-35,"Below N50,000",Bank J,Female,Bank J,Akure,Bachelor's Decree,Civil/Public Servant,No,,
6802,25.5,175000,4,0.5,2,0,0.5,60,40,40,20,20,10,3,21-30,"N101,000 - N250,000",Bank A,Female,Bank A,Akure,Bachelor's Decree,Student,No,,
6803,25.5,25000,6,2,30,0,0,60,-20,30,0,0,0,0,21-30,"Below N50,000",Bank F,Female,Bank F,Akure,Bachelor's Decree,Student,No,,
6805,25.5,25000,6,0.5,2,0.5,6,60,20,50,40,0,0,0,21-30,"Below N50,000",Bank B,Female,Bank B,Akure,Bachelor's Decree,Student,No,,
6806,19,25000,2,2,30,0,30,84,20,110,20,0,10,1,18-20,"Below N50,000",Bank A,Female,Bank A,Akure,Bachelor's Decree,Student,No,,
6807,19,25000,1,2,30,0,30,68,0,90,20,20,10,1,18-20,"Below N50,000",Bank B,Female,Bank A,Akure,Bachelor's Decree,Student,No,,
6808,19,25000,1,2,30,0,30,68,20,150,40,40,10,1,18-20,"Below N50,000",Bank C,Female,Bank A,Akure,Bachelor's Decree,Student,No,,
6809,19,25000,1,2,30,0,30,84,-20,70,20,0,10,1,18-20,"Below N50,000",Bank F,Female,Bank A,Akure,Bachelor's Decree,Student,No,,
6811,25.5,25000,2,0.5,2,0,0.5,40,19,54,20,20,10,0,21-30,"Below N50,000",Bank J,Male,Bank J,Akure,OND/HND,Student,No,,
6812,33,75000,1,2,0.5,0,0.5,120,57,177,0,60,30,3,31-35,"N50,000 - N100,000",Bank K,Male,Bank K,Akure,Secondary school leaving certificate,Self Employed,No,,
6813,38,175000,6,6,30,0.5,6,60,20,70,20,30,10,3,36-40,"N101,000 - N250,000",Bank L,Female,Bank L,Akure,OND/HND,Private Sector Employee,No,,
6814,38,175000,4,6,30,0.5,6,60,30,70,20,30,10,3,36-40,"N101,000 - N250,000",Bank G,Female,Bank L,Akure,OND/HND,Private Sector Employee,No,,
6815,25.5,25000,1,6,30,0.5,0,19,30,96,40,28,20,3,21-30,"Below N50,000",Bank C,Male,Bank C,Akure,Bachelor's Decree,Student,No,,
6816,38,75000,10,2,6,0,0,10,0,-80,40,-40,-30,0,36-40,"N50,000 - N100,000",Bank B,Male,Bank A,Akure,Bachelor's Decree,Self Employed,No,,
6817,38,75000,10,2,6,0,0,0,-10,-50,20,-30,-10,0,36-40,"N50,000 - N100,000",Bank A,Male,Bank A,Akure,Bachelor's Decree,Self Employed,No,,
6821,25.5,25000,4,6,30,0,0,48,40,120,40,40,20,3,21-30,"Below N50,000",Bank D,Male,Bank D,Akure,Bachelor's Decree,Private Sector Employee,No,,
6822,25.5,25000,5,6,30,0,0,48,40,120,40,40,20,3,21-30,"Below N50,000",Bank H,Female,Bank H,Akure,Bachelor's Decree,Private Sector Employee,No,,
6823,25.5,25000,5,2,6,0.5,6,41,40,55,20,20,20,3,21-30,"Below N50,000",Bank C,Female,Bank C,Akure,Bachelor's Decree,Student,No,,
6824,33,75000,8,2,6,0.5,0,60,40,20,40,20,10,3,31-35,"N50,000 - N100,000",Bank A,Female,Bank A,Akure,Bachelor's Decree,Private Sector Employee,No,,
6825,38,375000,5,0.5,2,0,2,40,40,140,50,60,30,3,36-40,"N251,000 - N500,000",Bank H,Female,Bank A,Akure,Master's Degree,Civil/Public Servant,No,,
6826,38,375000,6,0.5,2,0,2,80,60,180,50,60,30,3,36-40,"N251,000 - N500,000",Bank A,Female,Bank A,Akure,Master's Degree,Civil/Public Servant,No,,
6827,25.5,25000,4,0.5,2,0,0,50,0,60,20,20,10,0,21-30,"Below N50,000",Bank F,Female,Bank F,Akure,Bachelor's Decree,Student,No,,
6828,25.5,25000,2,0.5,2,0,0,-60,-20,-60,-20,-20,-10,0,21-30,"Below N50,000",Bank D,Female,Bank F,Akure,Bachelor's Decree,Student,No,,
6829,33,175000,6,2,6,0,0,40,20,0,20,0,0,0,31-35,"N101,000 - N250,000",Bank B,Male,Bank B,Akure,Bachelor's Decree,Civil/Public Servant,No,,
6830,25.5,75000,5,6,30,0,0,0,-20,-20,0,0,0,0,21-30,"N50,000 - N100,000",Bank A,Female,Bank A,Akure,Bachelor's Decree,Civil/Public Servant,No,,
6831,25.5,75000,4,2,6,0.5,0.5,37,46,37,40,20,20,3,21-30,"N50,000 - N100,000",Bank L,Male,Bank L,Akure,Bachelor's Decree,Student,No,,
6832,33,175000,5,2,6,0,0,80,20,60,40,40,30,3,31-35,"N101,000 - N250,000",Bank C,Male,Bank C,Akure,Bachelor's Decree,Private Sector Employee,No,,
6834,25.5,25000,5,0.5,6,0,0,120,10,120,50,50,20,3,21-30,"Below N50,000",Bank A,Male,Bank A,Akure,Bachelor's Decree,Student,No,,
6835,25.5,25000,5,0.5,6,0,0,120,10,120,40,60,20,3,21-30,"Below N50,000",Bank B,Male,Bank A,Akure,Bachelor's Decree,Student,No,,
6837,25.5,25000,3,0.5,6,0.5,2,10,30,70,20,20,10,0,21-30,"Below N50,000",Bank B,Male,Bank B,Akure,Bachelor's Decree,Student,No,,
6838,25.5,25000,1,2,6,2,0,60,0,100,40,20,10,3,21-30,"Below N50,000",Bank D,Male,Bank D,Akure,Bachelor's Decree,Student,No,,
6839,19,25000,1,6,2,0,0,100,30,80,20,0,10,3,18-20,"Below N50,000",Bank D,Female,Bank D,Akure,Bachelor's Decree,Student,No,,
6840,65,375000,10,2,6,0,0,20,20,50,0,20,10,2,Above 60,"N251,000 - N500,000",Bank A,Female,Bank A,Akure,Master's Degree,Retired,No,,
6841,25.5,25000,8,0.5,2,0,0,47,40,70,50,30,30,3,21-30,"Below N50,000",Bank A,Female,Bank A,Akure,Bachelor's Decree,Student,No,,
6842,50.5,175000,12,6,30,0,0,48,10,20,20,-8,0,2,41-60,"N101,000 - N250,000",Bank F,Male,Bank F,Akure,Bachelor's Decree,Civil/Public Servant,No,,
6843,33,175000,5,6,30,0.5,6,100,40,10,40,40,30,3,31-35,"N101,000 - N250,000",Bank C,Male,Bank C,Akure,Bachelor's Decree,Private Sector Employee,No,,
6844,25.5,25000,7,6,30,0,0,44,20,80,40,40,30,3,21-30,"Below N50,000",Bank C,Female,Bank C,Akure,Bachelor's Decree,Private Sector Employee,No,,
6845,19,25000,1,0.5,2,0,0,60,0,109,40,50,20,3,18-20,"Below N50,000",Bank D,Female,Bank D,Akure,Bachelor's Decree,Student,No,,
6846,25.5,25000,3,2,6,6,0,24,12,53,39,33,-5,0,21-30,"Below N50,000",Bank C,Female,Bank C,Akure,Bachelor's Decree,Private Sector Employee,No,,
6847,65,175000,10,2,6,0,0,54,9,-46,20,20,-10,2,Above 60,"N101,000 - N250,000",Bank B,Male,Bank B,Akure,Master's Degree,Retired,No,,
6848,25.5,75000,3,6,6,0.5,0,-60,-30,-123,0,0,-30,0,21-30,"N50,000 - N100,000",Bank B,Male,Bank B,Akure,Bachelor's Decree,Civil/Public Servant,Yes,Bank B,Bank C
6849,38,175000,5,6,30,0.5,0.5,60,20,20,20,20,20,3,36-40,"N101,000 - N250,000",Bank B,Female,Bank B,Akure,Bachelor's Decree,Civil/Public Servant,No,,
6850,25.5,175000,6,6,30,0,6,100,40,100,60,40,10,3,21-30,"N101,000 - N250,000",Bank B,Male,Bank B,Akure,Bachelor's Decree,Private Sector Employee,No,,
6851,19,25000,1,0.5,2,0,0,-15,-2,-52,32,12,0,0,18-20,"Below N50,000",Bank F,Female,Bank F,Akure,Bachelor's Decree,Student,No,,
6852,33,175000,4,6,30,0.5,0.5,40,20,100,20,40,20,3,31-35,"N101,000 - N250,000",Bank O,Female,Bank O,Akure,Bachelor's Decree,Civil/Public Servant,No,,
6853,50.5,375000,8,2,30,0.5,0,60,40,60,40,40,30,2,41-60,"N251,000 - N500,000",Bank N,Male,Bank N,Akure,Master's Degree,Civil/Public Servant,No,,
6854,50.5,375000,8,6,30,0.5,0,60,40,60,40,40,30,2,41-60,"N251,000 - N500,000",Bank N,Male,Bank N,Akure,Master's Degree,Civil/Public Servant,No,,
6855,25.5,25000,2,6,6,0.5,0.5,60,40,70,40,40,20,3,21-30,"Below N50,000",Bank J,Male,Bank J,Akure,OND/HND,Private Sector Employee,No,,
6856,25.5,25000,4,6,30,0,0,60,40,60,36,30,30,3,21-30,"Below N50,000",Bank A,Male,Bank A,Akure,Bachelor's Decree,Student,No,,
6860,33,75000,5,6,30,0.5,0,30,-10,0,20,10,0,0,31-35,"N50,000 - N100,000",Bank K,Female,Bank K,Akure,Bachelor's Decree,Civil/Public Servant,No,,
6861,25.5,25000,6,2,30,0.5,0.5,50,10,97,20,20,20,3,21-30,"Below N50,000",Bank J,Female,Bank J,Akure,Bachelor's Decree,Student,No,,
6862,19,25000,2,6,6,0,0,-28,-16,15,9,-48,-9,0,18-20,"Below N50,000",Bank F,Female,Bank F,Akure,Secondary school leaving certificate,Student,Yes,Bank F,Bank C
6863,38,75000,7,6,30,0,0,37,0,10,0,0,0,0,36-40,"N50,000 - N100,000",Bank M,Female,Bank M,Akure,No Response,Self Employed,No,,
6865,50.5,175000,10,2,30,0,0,57,20,90,20,40,10,2,41-60,"N101,000 - N250,000",Bank H,Female,Bank H,Akure,Master's Degree,Civil/Public Servant,No,,
6867,38,175000,6,2,30,0.5,6,40,0,50,20,0,0,0,36-40,"N101,000 - N250,000",Bank A,Male,Bank A,Akure,Bachelor's Decree,Civil/Public Servant,No,,
6868,33,175000,5,2,6,0,0,80,20,60,40,40,30,3,31-35,"N101,000 - N250,000",Bank C,Male,Bank C,Akure,Bachelor's Decree,Private Sector Employee,No,,
6870,65,175000,7,2,6,0.5,0.5,-40,-40,-60,0,0,0,0,Above 60,"N101,000 - N250,000",Bank F,Male,Bank F,Akure,Master's Degree,Retired,No,,
6871,65,175000,5,2,6,0.5,0.5,80,20,130,40,40,20,2,Above 60,"N101,000 - N250,000",Bank I,Male,Bank F,Akure,Master's Degree,Retired,No,,
6874,50.5,375000,7,6,30,0.5,0,0,-20,10,20,0,10,2,41-60,"N251,000 - N500,000",Bank B,Male,Bank B,Akure,Master's Degree,Civil/Public Servant,No,,
6875,50.5,175000,5,0.5,6,0,0,80,10,70,40,20,20,3,41-60,"N101,000 - N250,000",Bank J,Female,Bank I,Akure,Bachelor's Decree,Self Employed,No,,
6876,50.5,175000,7,0.5,6,0,0,70,0,80,20,20,20,2,41-60,"N101,000 - N250,000",Bank I,Female,Bank I,Akure,Bachelor's Decree,Self Employed,No,,
6877,38,75000,8,6,6,0,0,46,10,-40,0,-10,0,0,36-40,"N50,000 - N100,000",Bank M,Female,Bank M,Akure,Bachelor's Decree,Self Employed,No,,
6878,50.5,175000,8,2,6,0,0,38,0,-10,0,10,10,0,41-60,"N101,000 - N250,000",Bank A,Female,Bank A,Akure,Master's Degree,Civil/Public Servant,No,,
6879,33,75000,6,2,6,2,0,38,20,80,20,20,20,3,31-35,"N50,000 - N100,000",Bank H,Female,Bank H,Akure,Bachelor's Decree,Private Sector Employee,No,,
6880,19,25000,4,2,6,2,0.5,-20,0,-30,10,0,0,0,18-20,"Below N50,000",Bank F,Male,Bank F,Akure,OND/HND,Student,No,,
6881,33,75000,4,0.5,2,0,0.5,1,10,-33,24,-20,6,0,31-35,"N50,000 - N100,000",Bank F,Male,Bank F,Akure,Bachelor's Decree,Private Sector Employee,No,,
6882,38,75000,8,6,30,0,0,40,0,-20,20,20,0,0,36-40,"N50,000 - N100,000",Bank F,Female,Bank F,Akure,Bachelor's Decree,Civil/Public Servant,No,,
6883,25.5,25000,1,6,6,0,0.5,43,10,60,-32,-4,0,0,21-30,"Below N50,000",Bank C,Female,Bank C,Akure,Bachelor's Decree,Student,No,,
6884,33,75000,5,2,30,0.5,0,60,20,70,40,40,30,3,31-35,"N50,000 - N100,000",Bank Q,Male,Bank Q,Akure,Bachelor's Decree,Private Sector Employee,No,,
6885,25.5,25000,5,2,6,0.5,0,-40,-40,-80,40,-40,-10,0,21-30,"Below N50,000",Bank H,Female,Bank H,Akure,Bachelor's Decree,Student,Yes,Bank H,Bank C
6886,25.5,25000,3,2,6,0.5,0.5,80,20,107,60,40,30,3,21-30,"Below N50,000",Bank J,Male,Bank J,Akure,Bachelor's Decree,Student,No,,
6887,38,75000,3,2,6,0.5,0,70,60,124,40,40,30,3,36-40,"N50,000 - N100,000",Bank J,Male,Bank J,Akure,Bachelor's Decree,Private Sector Employee,No,,
6888,38,175000,2,2,6,0.5,0,76,20,150,40,27,20,3,36-40,"N101,000 - N250,000",Bank Q,Male,Bank Q,Akure,Master's Degree,Civil/Public Servant,No,,
6889,38,75000,7,2,6,0,0,-22,0,-40,0,0,-10,0,36-40,"N50,000 - N100,000",Bank F,Male,Bank F,Akure,Bachelor's Decree,Private Sector Employee,Yes,Bank F,Bank C
6891,25.5,75000,2,6,6,0,0,110,40,100,40,40,20,3,21-30,"N50,000 - N100,000",Bank C,Female,Bank C,Akure,Bachelor's Decree,Private Sector Employee,No,,
6892,25.5,25000,4,2,6,0.5,2,67,30,83,27,60,18,3,21-30,"Below N50,000",Bank O,Female,Bank O,Akure,OND/HND,Private Sector Employee,No,,
